model_key,context_length,compression_ratio,layer,lag,overlap_mean,overlap_std,jaccard_mean,sample_count
mistral_7b_instruct_v03,8192,0.3,5,16,0.8720067739486694,,0.7747583985328674,1
mistral_7b_instruct_v03,8192,0.3,5,32,0.8563509583473206,,0.7515476942062378,1
mistral_7b_instruct_v03,8192,0.3,5,64,0.837995171546936,,0.7259670495986938,1
mistral_7b_instruct_v03,8192,0.3,5,128,0.8191559910774231,,0.7023166418075562,1
mistral_7b_instruct_v03,8192,0.3,5,256,0.7973232269287109,,0.678825855255127,1
mistral_7b_instruct_v03,8192,0.3,5,512,0.7635936737060547,,0.646192729473114,1
mistral_7b_instruct_v03,8192,0.3,5,1024,0.7117928266525269,,0.6020607948303223,1
mistral_7b_instruct_v03,8192,0.3,6,1,0.9194545745849608,,0.8523178100585938,1
mistral_7b_instruct_v03,8192,0.3,6,2,0.898332417011261,,0.817045271396637,1
mistral_7b_instruct_v03,8192,0.3,6,4,0.8839828968048096,,0.7936974167823792,1
mistral_7b_instruct_v03,8192,0.3,6,8,0.8760772347450256,,0.7812504768371582,1
mistral_7b_instruct_v03,8192,0.3,6,16,0.8715358972549438,,0.7745804786682129,1
mistral_7b_instruct_v03,8192,0.3,6,32,0.8605788350105286,,0.7585604190826416,1
mistral_7b_instruct_v03,8192,0.3,6,64,0.8500033020973206,,0.7445465326309204,1
mistral_7b_instruct_v03,8192,0.3,6,128,0.8308770656585693,,0.719953179359436,1
mistral_7b_instruct_v03,8192,0.3,6,256,0.8119968771934509,,0.7003956437110901,1
mistral_7b_instruct_v03,8192,0.3,6,512,0.7788740992546082,,0.6680606007575989,1
mistral_7b_instruct_v03,8192,0.3,6,1024,0.7227059602737427,,0.6172220706939697,1
mistral_7b_instruct_v03,8192,0.3,7,1,0.9088150262832642,,0.8345205783843994,1
mistral_7b_instruct_v03,8192,0.3,7,2,0.8885965347290039,,0.801222026348114,1
mistral_7b_instruct_v03,8192,0.3,7,4,0.8749247789382935,,0.7792693972587585,1
mistral_7b_instruct_v03,8192,0.3,7,8,0.8658348917961121,,0.7651166319847107,1
mistral_7b_instruct_v03,8192,0.3,7,16,0.856078028678894,,0.7504784464836121,1
mistral_7b_instruct_v03,8192,0.3,7,32,0.8471289277076721,,0.7379340529441833,1
mistral_7b_instruct_v03,8192,0.3,7,64,0.8335556387901306,,0.7196949124336243,1
mistral_7b_instruct_v03,8192,0.3,7,128,0.8167732954025269,,0.699135422706604,1
mistral_7b_instruct_v03,8192,0.3,7,256,0.7910338640213013,,0.670129656791687,1
mistral_7b_instruct_v03,8192,0.3,7,512,0.7529249787330627,,0.6316587924957275,1
mistral_7b_instruct_v03,8192,0.3,7,1024,0.6977622509002686,,0.5834188461303711,1
mistral_7b_instruct_v03,8192,0.3,8,1,0.9233187437057496,,0.8588875532150269,1
mistral_7b_instruct_v03,8192,0.3,8,2,0.9044297337532043,,0.8269245624542236,1
mistral_7b_instruct_v03,8192,0.3,8,4,0.8885833621025085,,0.8008779883384705,1
mistral_7b_instruct_v03,8192,0.3,8,8,0.8775053024291992,,0.7832209467887878,1
mistral_7b_instruct_v03,8192,0.3,8,16,0.8648415207862854,,0.7638161778450012,1
mistral_7b_instruct_v03,8192,0.3,8,32,0.8490124940872192,,0.7405882477760315,1
mistral_7b_instruct_v03,8192,0.3,8,64,0.8326461315155029,,0.7181690335273743,1
mistral_7b_instruct_v03,8192,0.3,8,128,0.8084032535552979,,0.6869031190872192,1
mistral_7b_instruct_v03,8192,0.3,8,256,0.7880824208259583,,0.6658379435539246,1
mistral_7b_instruct_v03,8192,0.3,8,512,0.7437728047370911,,0.6191561222076416,1
mistral_7b_instruct_v03,8192,0.3,8,1024,0.693457841873169,,0.5776475667953491,1
mistral_7b_instruct_v03,8192,0.3,9,1,0.9168848991394044,,0.8480322957038879,1
mistral_7b_instruct_v03,8192,0.3,9,2,0.8982453346252441,,0.8172003030776978,1
mistral_7b_instruct_v03,8192,0.3,9,4,0.8832232356071472,,0.7928676009178162,1
mistral_7b_instruct_v03,8192,0.3,9,8,0.8730310201644897,,0.776829719543457,1
mistral_7b_instruct_v03,8192,0.3,9,16,0.8662399053573608,,0.7666283845901489,1
mistral_7b_instruct_v03,8192,0.3,9,32,0.857147753238678,,0.7536332607269287,1
mistral_7b_instruct_v03,8192,0.3,9,64,0.8467040061950684,,0.7398681640625,1
mistral_7b_instruct_v03,8192,0.3,9,128,0.8311236500740051,,0.7206614017486572,1
mistral_7b_instruct_v03,8192,0.3,9,256,0.8090952634811401,,0.6964851021766663,1
mistral_7b_instruct_v03,8192,0.3,9,512,0.7717859745025635,,0.6582573056221008,1
mistral_7b_instruct_v03,8192,0.3,9,1024,0.7076281309127808,,0.5968353748321533,1
mistral_7b_instruct_v03,8192,0.3,10,1,0.9232921004295348,,0.8585054278373718,1
mistral_7b_instruct_v03,8192,0.3,10,2,0.9046496152877808,,0.8270253539085388,1
mistral_7b_instruct_v03,8192,0.3,10,4,0.8864443302154541,,0.7972574830055237,1
mistral_7b_instruct_v03,8192,0.3,10,8,0.8728311061859131,,0.7757618427276611,1
mistral_7b_instruct_v03,8192,0.3,10,16,0.8647982478141785,,0.7636503577232361,1
mistral_7b_instruct_v03,8192,0.3,10,32,0.8479009866714478,,0.7388029098510742,1
mistral_7b_instruct_v03,8192,0.3,10,64,0.8318325281143188,,0.716901421546936,1
mistral_7b_instruct_v03,8192,0.3,10,128,0.8079413771629333,,0.6861480474472046,1
mistral_7b_instruct_v03,8192,0.3,10,256,0.7851788401603699,,0.661706805229187,1
mistral_7b_instruct_v03,8192,0.3,10,512,0.7458786964416504,,0.6219127178192139,1
