context_length,compression_ratio,reuse_interval,reuse_recall_mean,reuse_recall_std,reuse_jaccard_mean,refresh_reduction,sample_count
8192,0.3,2,0.9575683288276196,0.006488586414887051,0.9225437734276056,0.5,32
8192,0.3,4,0.9243141412734985,0.011592877126732624,0.8639774490147829,0.75,32
8192,0.3,8,0.9000287596136332,0.015220899544329348,0.8224942963570356,0.875,32
8192,0.3,16,0.8822366055101156,0.017199508232653128,0.7930180002003908,0.9375,32
8192,0.3,32,0.8687902018427849,0.018543488066519235,0.7717579044401646,0.96875,32
8192,0.3,64,0.8542108945548534,0.01888492352374498,0.7500404622405767,0.984375,32
8192,0.3,128,0.840456573292613,0.019320467021186956,0.7312019448727369,0.9921875,32
8192,0.3,256,0.8210134580731392,0.019460631454539322,0.7068577501922846,0.99609375,32
8192,0.3,512,0.7946604359894991,0.020160792248407357,0.6772432010620832,0.998046875,32
8192,0.5,2,0.9315148591995239,0.01078684279033341,0.8812981676310301,0.5,32
8192,0.5,4,0.8780289012938738,0.01937129503052055,0.7934077735990286,0.75,32
8192,0.5,8,0.8389597106724977,0.025413653412224565,0.7319932654500008,0.875,32
8192,0.5,16,0.8107538465410471,0.028485964227036895,0.689328545704484,0.9375,32
8192,0.5,32,0.7902099266648293,0.030724531936263514,0.659799275919795,0.96875,32
8192,0.5,64,0.7684123162180185,0.03128029231510183,0.6304885670542717,0.984375,32
8192,0.5,128,0.749700142070651,0.031867556571454396,0.6069978214800358,0.9921875,32
8192,0.5,256,0.72216990403831,0.032910053350871146,0.575464385561645,0.99609375,32
8192,0.5,512,0.686571829020977,0.03420240207976382,0.5380644183605909,0.998046875,32
8192,0.7,2,0.9015492238104343,0.015517213640105772,0.8386063724756241,0.5,32
8192,0.7,4,0.8254510965198278,0.027527590060606323,0.7222985066473484,0.75,32
8192,0.7,8,0.7701965253800154,0.03565013965627747,0.6425966639071703,0.875,32
8192,0.7,16,0.7310647945851088,0.03930500176036753,0.5886515453457832,0.9375,32
8192,0.7,32,0.7032357174903154,0.041838041310284464,0.552399636246264,0.96875,32
8192,0.7,64,0.6739642936736345,0.04195574064137264,0.5172495888546109,0.984375,32
8192,0.7,128,0.6510093063116074,0.04215456036601451,0.49124901089817286,0.9921875,32
8192,0.7,256,0.6121461503207684,0.044545900299947046,0.45171458553522825,0.99609375,32
8192,0.7,512,0.5622285176068544,0.04581392846134136,0.40453074965625996,0.998046875,32
