context_length,compression_ratio,lag,overlap_mean,overlap_std,jaccard_mean,sample_count
8192,0.3,1,0.9153381492942572,0.01301126504632558,0.8453826159238815,32
8192,0.3,2,0.895318366587162,0.016352632481471455,0.812231870368123,32
8192,0.3,4,0.8818935360759497,0.017995281342117364,0.7906955126672983,32
8192,0.3,8,0.8717872407287359,0.018954142782530842,0.7749015279114246,32
8192,0.3,16,0.8611723817884922,0.018896691287694462,0.7588151302188635,32
8192,0.3,32,0.8499646801501513,0.018781042964004846,0.7427863087505102,32
8192,0.3,64,0.8347479235380888,0.018745213831894845,0.7221334259957075,32
8192,0.3,128,0.8185616098344326,0.01838686366535648,0.7026193868368864,32
8192,0.3,256,0.7936102114617825,0.017969122737012712,0.6749782711267471,32
8192,0.3,512,0.7564662359654903,0.01717068852831857,0.6385200638324022,32
8192,0.5,1,0.8634049613028765,0.021658229556444062,0.7630157098174095,32
8192,0.5,2,0.8312002886086702,0.02741216089629487,0.7149706464260817,32
8192,0.5,4,0.8102452717721462,0.030127539659443186,0.6850270237773657,32
8192,0.5,8,0.7941864766180515,0.031612822386303675,0.6626932173967361,32
8192,0.5,16,0.7780811190605164,0.03155002530334241,0.6408905331045389,32
8192,0.5,32,0.7618734873831272,0.031280995829669964,0.6201631799340248,32
8192,0.5,64,0.7403333559632301,0.03136372402969863,0.593909377232194,32
8192,0.5,128,0.7196400947868824,0.030621265987267665,0.5709581030532718,32
8192,0.5,256,0.6875374019145966,0.030700139077000914,0.5378317907452583,32
8192,0.5,512,0.6423305850476027,0.029713026882997103,0.4959383523091674,32
8192,0.7,1,0.8035318162292242,0.031057605116150532,0.6776981204748154,32
8192,0.7,2,0.7582536265254021,0.03907140387927971,0.6172254234552383,32
8192,0.7,4,0.7297839242964983,0.042341482311526214,0.5811830470338464,32
8192,0.7,8,0.7076155599206686,0.043844041099872146,0.5539413094520569,32
8192,0.7,16,0.6860372480005026,0.043124923473664915,0.5280390726402402,32
8192,0.7,32,0.6649858225136995,0.04198265107632393,0.504266201518476,32
8192,0.7,64,0.6374897379428148,0.04144712121815503,0.4747264254838228,32
8192,0.7,128,0.6108721345663071,0.040299325834134404,0.4481640560552478,32
8192,0.7,256,0.5674511156976223,0.03922111498572151,0.40751180890947575,32
8192,0.7,512,0.5086923157796264,0.03758914962328388,0.35757887549698353,32
