method,token_length,subword_ppl,avg_nll,subword_ppl_all_targets,avg_nll_all_targets,target_tokens_scored,target_tokens_scored_all,num_books,target_tokens,include_first_target,compression_ratio,stride,model,pg19_source_dataset,physical_device
snapkv,12288,10.053756,2.30794634,10.049559,2.30752871,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,12800,9.659144,2.26790506,9.628759,2.26475433,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,13312,9.253244,2.2249742,9.260072,2.22571179,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,13824,9.475505,2.24871001,9.453828,2.24641978,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,14336,9.019427,2.1993808,9.040156,2.20167644,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,14848,9.162024,2.21506708,9.193254,2.21846997,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,15360,8.744466,2.16842105,8.728376,2.16657933,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,15872,9.372416,2.2377709,9.366797,2.23717125,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,16384,9.287685,2.22868937,9.289254,2.22885819,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,16896,8.287576,2.11475748,8.29721,2.11591934,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,17408,9.64719,2.26666667,9.681595,2.27022663,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,17920,9.045527,2.20227038,9.06609,2.20454109,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,18432,9.086694,2.20681115,9.109614,2.2093303,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,18944,8.686901,2.16181631,8.663328,2.15909895,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,19456,8.982272,2.19525284,8.98052,2.19505784,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,19968,9.481374,2.24932921,9.488457,2.25007604,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,20480,9.184744,2.21754386,9.188461,2.21794849,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,20992,9.815906,2.28400413,9.822561,2.28468188,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,21504,10.50344,2.35170279,10.481823,2.34964257,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,22016,10.066215,2.30918473,10.092431,2.31178573,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,22528,9.500963,2.25139319,9.495117,2.2507777,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,23040,8.562296,2.14736842,8.59978,2.15173662,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,23552,8.199103,2.10402477,8.207489,2.105047,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,24064,9.064216,2.20433437,9.034142,2.201011,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,24576,8.978565,2.19484004,8.982233,2.19524856,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,25088,8.886383,2.18452012,8.89789,2.18581418,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,25600,9.536327,2.25510836,9.520718,2.25347028,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,26112,9.595558,2.26130031,9.600424,2.26180726,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,26624,9.876874,2.29019608,9.896425,2.29217361,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,27136,10.6475,2.36532508,10.648843,2.36545124,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,27648,10.004078,2.30299278,10.017268,2.30431041,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,28160,9.477461,2.24891641,9.465777,2.24768289,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
snapkv,28672,9.715128,2.27368421,9.711059,2.2732653,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
