amortized_total_cuda_ms_mean,amortized_total_cuda_ms_median,amortized_total_wall_ms_mean,amortized_total_wall_ms_median,batch_size,block_q_window,block_size,chunk_length,compression_ratio,layer_idx,length,method,online_index_cuda_ms_mean,online_index_cuda_ms_median,online_index_wall_ms_mean,online_index_wall_ms_median,peak_memory_mb,reuse_steps,score_cuda_ms_mean,score_cuda_ms_median,score_wall_ms_mean,score_wall_ms_median,summary_build_cuda_ms_mean,summary_build_cuda_ms_median,summary_build_wall_ms_mean,summary_build_wall_ms_median,sweep,topk_index_cuda_ms_mean,topk_index_cuda_ms_median,topk_index_wall_ms_mean,topk_index_wall_ms_median,window_size
0.3200480001047254,0.29124799463897943,0.357922725379467,0.32383808866143227,1,32,16,20,0.5,0,2048,snapkv,0.3200480001047254,0.29124799463897943,0.357922725379467,0.32383808866143227,2350.71875,64,0.28891839981079104,0.26150399446487427,0.31227441504597664,0.2815835177898407,0.0,0.0,0.0,0.0,length,0.031129600293934346,0.029744000174105167,0.04564831033349037,0.04225457087159157,64
1.3495007753372192,1.3208319544792175,1.3944600010290742,1.3605559943243861,1,32,16,20,0.5,0,2048,chunkkv,1.3495007753372192,1.3208319544792175,1.3944600010290742,1.3605559943243861,2350.71875,64,0.28891839981079104,0.26150399446487427,0.31227441504597664,0.2815835177898407,0.0,0.0,0.0,0.0,length,1.0605823755264283,1.0593279600143433,1.0821855859830976,1.0789724765345454,64
0.5062465537339449,0.5045600016601384,0.5280988796585007,0.5253753188299015,1,32,16,20,0.5,0,2048,blockwise,0.5004000037908554,0.49876800179481506,0.5219110986217856,0.5192725220695138,2350.71875,64,0.5004000037908554,0.49876800179481506,0.5219110986217856,0.5192725220695138,0.37417919635772706,0.37068799138069153,0.3960179863497615,0.390578992664814,length,0.0,0.0,0.0,0.0,64
0.29244160503149036,0.2920160060748458,0.32574739307165146,0.32400141935795546,1,32,16,20,0.5,1,2048,snapkv,0.29244160503149036,0.2920160060748458,0.32574739307165146,0.32400141935795546,2350.71875,64,0.26232960522174836,0.26211200654506683,0.2826067851856351,0.28177991043776274,0.0,0.0,0.0,0.0,length,0.030111999809741975,0.029903999529778957,0.04314060788601637,0.04222150892019272,64
1.3134335905313492,1.3124000281095505,1.3543356908485293,1.352118793874979,1,32,16,20,0.5,1,2048,chunkkv,1.3134335905313492,1.3124000281095505,1.3543356908485293,1.352118793874979,2350.71875,64,0.26232960522174836,0.26211200654506683,0.2826067851856351,0.28177991043776274,0.0,0.0,0.0,0.0,length,1.051103985309601,1.0502880215644836,1.0717289056628942,1.0703388834372163,64
0.5025747039355337,0.5008495000656694,0.5243991527095204,0.521836334883119,1,32,16,20,0.5,1,2048,blockwise,0.4967936038970947,0.49510399997234344,0.5182986613363028,0.515776569955051,2350.71875,64,0.4967936038970947,0.49510399997234344,0.5182986613363028,0.515776569955051,0.3699904024600983,0.36771200597286224,0.39043144788593054,0.3878249553963542,length,0.0,0.0,0.0,0.0,64
0.2874687997624278,0.2858080016449094,0.3208312438800931,0.31766819301992655,1,32,16,20,0.5,2,2048,snapkv,0.2874687997624278,0.2858080016449094,0.3208312438800931,0.31766819301992655,2350.71875,64,0.25722239911556244,0.25601600110530853,0.27756409253925085,0.2754565794020891,0.0,0.0,0.0,0.0,length,0.030246400646865367,0.02979200053960085,0.04326715134084225,0.04221161361783743,64
1.3084703892469407,1.3066720217466354,1.349026383832097,1.3457511086016893,1,32,16,20,0.5,2,2048,chunkkv,1.3084703892469407,1.3066720217466354,1.349026383832097,1.3457511086016893,2350.71875,64,0.25722239911556244,0.25601600110530853,0.27756409253925085,0.2754565794020891,0.0,0.0,0.0,0.0,length,1.0512479901313783,1.050656020641327,1.0714622912928462,1.0702945291996002,64
0.5097117002122105,0.5049285013228655,0.5322045122738928,0.5288735264912248,1,32,16,20,0.5,2,2048,blockwise,0.5039424002170563,0.4992000013589859,0.5261123878881335,0.5228359950706363,2350.71875,64,0.5039424002170563,0.4992000013589859,0.5261123878881335,0.5228359950706363,0.3692351996898651,0.36662399768829346,0.389895960688591,0.3864020109176636,length,0.0,0.0,0.0,0.0,64
0.29269119780510666,0.29214399494230747,0.32613363582640886,0.32406754326075315,1,32,16,20,0.5,3,2048,snapkv,0.29269119780510666,0.29214399494230747,0.32613363582640886,0.32406754326075315,2350.71875,64,0.26223679780960085,0.26156799495220184,0.28261090628802776,0.281383516266942,0.0,0.0,0.0,0.0,length,0.03045439999550581,0.03057599999010563,0.0435227295383811,0.04268402699381113,64
1.3154271841049194,1.31489597260952,1.3559913728386164,1.354669569991529,1,32,16,20,0.5,3,2048,chunkkv,1.3154271841049194,1.31489597260952,1.3559913728386164,1.354669569991529,2350.71875,64,0.26223679780960085,0.26156799495220184,0.28261090628802776,0.281383516266942,0.0,0.0,0.0,0.0,length,1.0531903862953187,1.0533279776573181,1.0733804665505886,1.073286053724587,64
