amortized_total_cuda_ms_mean,amortized_total_cuda_ms_median,amortized_total_wall_ms_mean,amortized_total_wall_ms_median,batch_size,block_q_window,block_size,chunk_length,compression_ratio,layer_count,layer_idx,length,method,online_index_cuda_ms_mean,online_index_cuda_ms_median,online_index_wall_ms_mean,online_index_wall_ms_median,peak_memory_mb,reuse_steps,score_cuda_ms_mean,score_cuda_ms_median,score_wall_ms_mean,score_wall_ms_median,summary_build_cuda_ms_mean,summary_build_cuda_ms_median,summary_build_wall_ms_mean,summary_build_wall_ms_median,sweep,topk_index_cuda_ms_mean,topk_index_cuda_ms_median,topk_index_wall_ms_mean,topk_index_wall_ms_median,window_size
0.30137970023206434,0.29825450052157976,0.33679411571938545,0.3319304087199271,1,32,16,20,0.5,32,mean_all_layers,2048,snapkv,0.30137970023206434,0.29825450052157976,0.33679411571938545,0.3319304087199271,2350.71875,64,0.2707466000691056,0.26793850027024746,0.29226529732113704,0.2885532594518736,0.0,0.0,0.0,0.0,length,0.030633100162958726,0.030316000251332298,0.044528818398248404,0.04337714926805347,64
1.3558621956035495,1.3505804929882288,1.3982614065753296,1.3917377036705147,1,32,16,20,0.5,32,mean_all_layers,2048,chunkkv,1.3558621956035495,1.3505804929882288,1.3982614065753296,1.3917377036705147,2350.71875,64,0.2707466000691056,0.26793850027024746,0.29226529732113704,0.2885532594518736,0.0,0.0,0.0,0.0,length,1.0851155955344438,1.0826419927179813,1.1059961092541926,1.1031844442186411,64
0.5238137160122278,0.5253060621471377,0.5462891037154805,0.5469952154726343,1,32,16,20,0.5,32,mean_all_layers,2048,blockwise,0.5177542003802955,0.5192914996296167,0.5398905712354463,0.5406546188169159,2350.71875,64,0.5177542003802955,0.5192914996296167,0.5398905712354463,0.5406546188169159,0.3878090004436672,0.3849320011213422,0.40950607872218825,0.4057981859659776,length,0.0,0.0,0.0,0.0,64
0.34041640158975495,0.33956750202924013,0.3746061986021232,0.37192977106315084,1,32,16,20,0.5,32,mean_all_layers,4096,snapkv,0.34041640158975495,0.33956750202924013,0.3746061986021232,0.37192977106315084,2410.75,64,0.3049421012401581,0.30437750183045864,0.3259974662796594,0.3242589118599426,0.0,0.0,0.0,0.0,length,0.035474300349596886,0.03519000019878149,0.048608732322463766,0.04767085920320824,64
2.2785169020295144,2.2672944962978363,2.321141413267469,2.3082874540705234,1,32,16,20,0.5,32,mean_all_layers,4096,chunkkv,2.2785169020295144,2.2672944962978363,2.321141413267469,2.3082874540705234,2410.75,64,0.3049421012401581,0.30437750183045864,0.3259974662796594,0.3242589118599426,0.0,0.0,0.0,0.0,length,1.9735748007893563,1.9629169944673777,1.9951439469878096,1.9840285422105808,64
0.6241143801264115,0.619263045664411,0.64614617914458,0.6405064629007029,1,32,16,20,0.5,32,mean_all_layers,4096,blockwise,0.618121200427413,0.6132974987849593,0.6398167541192379,0.6342197048070375,2410.75,64,0.618121200427413,0.6132974987849593,0.6398167541192379,0.6342197048070375,0.3835635007359087,0.3817950002849102,0.40508320162189193,0.4023525179945864,length,0.0,0.0,0.0,0.0,64
0.6949534001294524,0.6943925034720451,0.7259701196744572,0.7238823418447282,1,32,16,20,0.5,32,mean_all_layers,8192,snapkv,0.6949534001294524,0.6943925034720451,0.7259701196744572,0.7238823418447282,2530.8125,64,0.6484533999115228,0.6480680033564568,0.6671910537988879,0.6659777427557856,0.0,0.0,0.0,0.0,length,0.04650000021792948,0.04632450011558831,0.05877906587556936,0.05790459908894263,64
4.1435143981128935,4.112055987119675,4.1831996211840305,4.150215219851816,1,32,16,20,0.5,32,mean_all_layers,8192,chunkkv,4.1435143981128935,4.112055987119675,4.1831996211840305,4.150215219851816,2530.8125,64,0.6484533999115228,0.6480680033564568,0.6671910537988879,0.6659777427557856,0.0,0.0,0.0,0.0,length,3.49506099820137,3.463987983763218,3.5160085673851427,3.4842374770960305,64
0.7609169260540511,0.7591829668090213,0.7803965089806297,0.7782212059623816,1,32,16,20,0.5,32,mean_all_layers,8192,blockwise,0.7557369979098439,0.7540354980155826,0.7749233416689094,0.7727914598945063,2530.8125,64,0.7557369979098439,0.7540354980155826,0.7749233416689094,0.7727914598945063,0.3315154012292624,0.32943800278007984,0.3502827079501003,0.34750374834402464,length,0.0,0.0,0.0,0.0,64
2.1013235994148998,2.1006255014799535,2.133784467878286,2.131504581484478,1,32,16,20,0.5,32,mean_all_layers,16384,snapkv,2.1013235994148998,2.1006255014799535,2.133784467878286,2.131504581484478,2770.9375,64,1.983738398551941,1.9830140005797148,2.003026417514775,2.0013557295897044,0.0,0.0,0.0,0.0,length,0.11758520086295902,0.11761150090023875,0.13075805036351085,0.13014885189477354,64
8.673259194195271,8.600047474727035,8.714889214024879,8.640746786113596,1,32,16,20,0.5,32,mean_all_layers,16384,chunkkv,8.673259194195271,8.600047474727035,8.714889214024879,8.640746786113596,2770.9375,64,1.983738398551941,1.9830140005797148,2.003026417514775,2.0013557295897044,0.0,0.0,0.0,0.0,length,6.68952079564333,6.61703347414732,6.711862796510104,6.639391056523891,64
1.1307224135889555,1.1190240319992881,1.150697776904508,1.1389252602498345,1,32,16,20,0.5,32,mean_all_layers,16384,blockwise,1.125434099510312,1.1137804929167032,1.1451173391833436,1.1334019945934415,2770.9375,64,1.125434099510312,1.1137804929167032,1.1451173391833436,1.1334019945934415,0.33845210103318096,0.33558650128543377,0.357148014154518,0.35348900200915523,length,0.0,0.0,0.0,0.0,64
4.596004096814431,4.594006995088421,4.633714957162738,4.6288404664664995,1,32,16,20,0.5,32,mean_all_layers,32768,snapkv,4.596004096814431,4.594006995088421,4.633714957162738,4.6288404664664995,3251.1875,64,4.454591096937657,4.4536929950118065,4.476840407005511,4.474341581953922,0.0,0.0,0.0,0.0,length,0.14141299987677486,0.14031400007661432,0.15687455015722662,0.1544988845125772,64
19.242991162836553,18.598391570150852,19.293507661495823,18.646460946911247,1,32,16,20,0.5,32,mean_all_layers,32768,chunkkv,19.242991162836553,18.598391570150852,19.293507661495823,18.646460946911247,3251.1875,64,4.454591096937657,4.4536929950118065,4.476840407005511,4.474341581953922,0.0,0.0,0.0,0.0,length,14.788400065898895,14.144698575139046,14.816667254490312,14.172119364957325,64
2.1083820335014023,2.064816144426004,2.131967307866489,2.087255663070664,1,32,16,20,0.5,32,mean_all_layers,32768,blockwise,2.0990364991128443,2.0554430037736893,2.1222954681434203,2.0775143020728137,3251.1875,64,2.0990364991128443,2.0554430037736893,2.1222954681434203,2.0775143020728137,0.5981142008677125,0.5998810017481446,0.6189977422764059,0.6234471038624179,length,0.0,0.0,0.0,0.0,64
0.7043949996004812,0.7027094994555227,0.7383225762168877,0.7348622493736912,1,32,16,20,0.5,32,mean_all_layers,8192,snapkv,0.7043949996004812,0.7027094994555227,0.7383225762168877,0.7348622493736912,2530.8125,64,0.6569136990234256,0.6554194986820221,0.6777804213925265,0.6751760229235515,0.0,0.0,0.0,0.0,batch,0.047481300577055664,0.04729000077350065,0.060542154824361205,0.05968622645013966,64
4.4227599976584315,4.41770551353693,4.4651587952103,4.458789484488079,1,32,16,20,0.5,32,mean_all_layers,8192,chunkkv,4.4227599976584315,4.41770551353693,4.4651587952103,4.458789484488079,2530.8125,64,0.6569136990234256,0.6554194986820221,0.6777804213925265,0.6751760229235515,0.0,0.0,0.0,0.0,batch,3.765846298635006,3.762286014854908,3.7873783738177735,3.783613461564528,64
0.8463027096979203,0.8464781383081572,0.86804676502652,0.867475973279852,1,32,16,20,0.5,32,mean_all_layers,8192,blockwise,0.8405527003109455,0.8407654976472259,0.8619761960289907,0.8614548532932531,2530.8125,64,0.8405527003109455,0.8407654976472259,0.8619761960289907,0.8614548532932531,0.3680006007663906,0.3656090022996068,0.38851641584187746,0.3853516791423317,batch,0.0,0.0,0.0,0.0,64
2.063100304175168,2.0602270062663592,2.0996576735342387,2.0952371596649755,2,32,16,20,0.5,32,mean_all_layers,8192,snapkv,2.063100304175168,2.0602270062663592,2.0996576735342387,2.0952371596649755,2771.5,64,2.013412604108453,2.0107585061341524,2.0365156735351775,2.033080607361626,0.0,0.0,0.0,0.0,batch,0.04968770006671548,0.04946850013220683,0.06314199999906123,0.0621565523033496,64
9.632163298502565,9.570032993331552,9.680126249440946,9.615909846615978,2,32,16,20,0.5,32,mean_all_layers,8192,chunkkv,9.632163298502565,9.570032993331552,9.680126249440946,9.615909846615978,2771.5,64,2.013412604108453,2.0107585061341524,2.0365156735351775,2.033080607361626,0.0,0.0,0.0,0.0,batch,7.6187506943941115,7.559274487197399,7.643610575905768,7.582829239254352,64
1.3311222769116284,1.2882745092429104,1.355100234661677,1.3113596588709697,2,32,16,20,0.5,32,mean_all_layers,8192,blockwise,1.3249083034694196,1.2821275014430285,1.348541153856786,1.304880923271412,2771.5,64,1.3249083034694196,1.2821275014430285,1.348541153856786,1.304880923271412,0.397694300301373,0.39340849919244647,0.41978117151302285,0.41463907837169245,batch,0.0,0.0,0.0,0.0,64
4.517028183175716,4.513368979038205,4.549281510844594,4.543717070191633,4,32,16,20,0.5,32,mean_all_layers,8192,snapkv,4.517028183175716,4.513368979038205,4.549281510844594,4.543717070191633,3252.875,64,4.4612178832292555,4.457716979086399,4.481149728235323,4.476534439163515,0.0,0.0,0.0,0.0,batch,0.055810299946460876,0.05565199995180592,0.06813178260927089,0.06718263102811761,64
