length,window_size,chunk_length,compression_ratio,dtype,score_attention_pairs,fair_prefill_len,fair_prefill_attention_pairs,decode_steps,decode_attention_pairs,full_prefill_fa_ms_median,full_prefill_fa_ms_p10,full_prefill_fa_ms_p90,fair_prefill_fa_ms_median,fair_prefill_fa_ms_p10,fair_prefill_fa_ms_p90,decode_single_fa_ms_median,decode_single_fa_ms_p10,decode_single_fa_ms_p90,decode_fair_batched_fa_ms_median,decode_fair_batched_fa_ms_p10,decode_fair_batched_fa_ms_p90,score_shape_fa_ms_median,score_shape_fa_ms_p10,score_shape_fa_ms_p90,snap_score_ms_median,snap_score_ms_p10,snap_score_ms_p90,snap_topk_index_ms_median,snap_topk_index_ms_p10,snap_topk_index_ms_p90,snap_total_no_gather_ms_median,chunk_index_ms_median,chunk_index_ms_p10,chunk_index_ms_p90,chunkkv_total_no_gather_ms_median,snap_vs_fair_prefill_fa,snap_vs_decode_fair_batched_fa,snap_vs_score_shape_fa,chunk_vs_fair_prefill_fa,chunk_vs_decode_fair_batched_fa,chunk_vs_score_shape_fa,decode_single_times_window_ms,snap_vs_decode_single_times_window,max_memory_allocated_mb
2048,64,20,0.5,float16,131072,511,130816,64,131072,0.670304000377655,0.6563839912414551,0.7475200295448303,0.11161600053310394,0.10835199803113937,0.11552000045776367,0.07680000364780426,0.07596799731254578,0.07884799689054489,0.10963200032711029,0.10844799876213074,0.12492799758911133,0.10849599912762642,0.10127999633550644,0.10956799983978271,0.40244799852371216,0.400191992521286,0.4076800048351288,0.04196799919009209,0.04095999896526337,0.04198399931192398,0.44441599771380424,1.991760015487671,1.9793920516967773,2.006783962249756,2.394208014011383,3.981651336646809,4.0537069139283695,4.096151022039321,21.45040139922672,21.838587336432397,22.067247025349012,4.915200233459473,0.09041666190697796,95.12890625
4096,64,20,0.5,float16,262144,723,261726,64,262144,2.69977605342865,2.653183937072754,2.7340800762176514,0.174064002931118,0.16793599724769592,0.17801600694656372,0.08499199897050858,0.08396799862384796,0.08611200004816055,0.14791999757289886,0.14745600521564484,0.14847999811172485,0.14745600521564484,0.14028799533843994,0.14847999811172485,0.6450560092926025,0.6284800171852112,0.6482880115509033,0.06143999844789505,0.06143999844789505,0.062463998794555664,0.7064960077404976,3.7501440048217773,3.727423906326294,3.7744638919830322,4.39520001411438,4.058828912604508,4.7762034838617256,4.791232521912506,25.25048223700614,29.713359155162976,29.80685668031414,5.439487934112549,0.1298828154962646,177.60546875
8192,64,20,0.5,float16,524288,1023,523776,64,524288,10.561119556427002,10.429439544677734,10.643263816833496,0.26214399933815,0.25600001215934753,0.2672640085220337,0.11366400122642517,0.11264000087976456,0.11468800157308578,0.22835199534893036,0.22806400060653687,0.2303999960422516,0.2181120067834854,0.2170879989862442,0.21913599967956543,1.4008320569992065,1.1407359838485718,1.6168960332870483,0.14745600521564484,0.14742399752140045,0.14847999811172485,1.5482880622148514,7.285199880599976,7.254687786102295,7.308288097381592,8.686031937599182,5.906250252242672,6.780269468847905,7.098591613765674,33.1345823651478,38.037906891624054,39.82372206689932,7.274496078491211,0.2128378440937972,341.12109375
16384,64,20,0.5,float16,1048576,1447,1047628,64,1048576,47.84992027282715,46.95344161987305,54.163455963134766,0.5381119847297668,0.4750719964504242,0.562175989151001,0.15769599378108978,0.14950400590896606,0.159743994474411,0.39316800236701965,0.3891200125217438,0.39423999190330505,0.3901439905166626,0.38896000385284424,0.3962880074977875,2.819488048553467,2.7041919231414795,2.9235520362854004,0.21094399690628052,0.1737920045852661,0.21196800470352173,3.0304320454597473,12.538879871368408,12.4651517868042,12.640512466430664,15.358367919921875,5.631601100617733,7.70772806336071,7.767470777767423,28.54121141277806,39.0631176175546,39.36589642091626,10.092543601989746,0.3002644491783317,666.66015625
